"source","site_abbr","Treatment","trend_class","n_total","record_years","n_timepoints","window_years","n_windows","p_same_sign","p_opposite_sign","p_any","directional","window_bin"
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,19,19,6,0,0,0,TRUE,19
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,20,20.0006844626968,5,0,0,0,TRUE,20
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,21,21,4,0,0,0,TRUE,21
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,22,21.9993155373032,3,0,0,0,TRUE,22
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,23,23,2,0.5,0,0.5,TRUE,23
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,24,24.0006844626968,1,1,0,1,TRUE,24
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb","stable",5,5,3,3.00136892539357,3,0,0.333333333333333,0.333333333333333,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb","stable",5,5,4,4.00068446269678,2,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb","stable",5,5,5,5,1,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,3,3,8,0,0,0,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,4,4.00068446269678,7,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,5,5,6,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,6,5.99931553730322,5,0,0,0,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,7,7,4,0,0,0,FALSE,7
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,8,8.00068446269678,3,0,0,0,FALSE,8
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,9,9,2,0,0,0,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTamb","stable",10,10.0020533880903,10,10.0020533880903,1,0,0,0,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,3,3,8,0,0.125,0.125,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,4,4.00068446269678,7,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,5,5,6,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,6,5.99931553730322,5,0,0,0,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,7,7,4,0,0,0,FALSE,7
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,8,8.00068446269678,3,0,0,0,FALSE,8
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,9,9,2,0,0,0,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oamb HTelv","variable",10,10.0020533880903,10,10.0020533880903,1,0,0,0,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg","stable",5,5,3,3.00136892539357,3,0,0,0,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg","stable",5,5,4,4.00068446269678,2,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg","stable",5,5,5,5,1,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,3,3.00136892539357,7,0,0.142857142857143,0.142857142857143,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,4,4.00068446269678,6,0.166666666666667,0,0.166666666666667,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,5,5,5,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,6,6.00068446269678,4,0,0,0,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,7,7.00136892539357,3,0,0,0,FALSE,7
