"Date","Plot","Grazed","total_mass"
"21-07-2005",50,"ug",169.8
"21-07-2005",51,"ug",400.6
"21-07-2005",52,"ug",308.9
"21-07-2005",53,"ug",262.3
"21-07-2005",55,"ug",162.1
"21-07-2005",56,"ug",313.5
"21-07-2005",57,"ug",389.24
"21-07-2005",58,"ug",300.7
"21-07-2005",59,"ug",311.8
"21-07-2005",60,"ug",572.36
"21-07-2005",61,"ug",703.06
"21-07-2005",62,"ug",258.3
"21-07-2005",63,"ug",247.94
"21-07-2005",64,"ug",243.1
"21-07-2005",65,"ug",644.2
"21-07-2005",66,"ug",377.54
"21-07-2005",67,"ug",228.9
"21-07-2005",68,"ug",354.8
"21-07-2005",69,"ug",200.86
"21-07-2005",70,"ug",203.6
"21-07-2005",71,"ug",313.3
"21-07-2005",72,"ug",147.6
