"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	59	970722	ROOTS	0--30	20967	1.03521	37.6884	36.4065
123	60	970722	ROOTS	0--30	20968	0.83843	38.2084	45.5715
123	61	970722	ROOTS	0--30	20969	0.71646	35.9687	50.2033
123	62	970722	ROOTS	0--30	20970	1.01352	43.9736	43.3868
123	63	970722	ROOTS	0--30	20971	0.79745	30.7832	38.6021
123	64	970722	ROOTS	0--30	20972	0.83655	32.8729	39.2958
123	65	970722	ROOTS	0--30	20973	0.38947	35.9416	92.2837
123	66	970722	ROOTS	0--30	20974	0.61419	37.6238	61.2573
123	67	970722	ROOTS	0--30	20975	0.85112	39.5543	46.4731
123	68	970722	ROOTS	0--30	20976	0.68045	37.1068	54.5325
123	69	970722	ROOTS	0--30	20977	0.54953	16.9845	30.9071
123	70	970722	ROOTS	0--30	20978	1.11388	43.5116	39.0633
123	71	970722	ROOTS	0--30	20979	0.53638	17.606	32.8234
123	72	970722	ROOTS	0--30	20980	0.79738	35.9173	45.0439
123	73	970722	ROOTS	0--30	20981	0.81627	24.4865	29.998
123	74	970722	ROOTS	0--30	20982	0.67664	18.1668	26.8485
123	75	970722	ROOTS	0--30	20983	0.97302	35.2885	36.2668
123	76	970722	ROOTS	0--30	20984	0.62377	19.4229	31.1379
123	77	970722	ROOTS	0--30	20985	0.71254	30.6509	43.0163
123	78	970722	ROOTS	0--30	20986	0.87185	27.5974	31.6539
123	79	970722	ROOTS	0--30	20987	0.71263	15.1076	21.1999
123	80	970722	ROOTS	0--30	20988	1.02386	40.946	39.9918
123	81	970722	ROOTS	0--30	20989	1.71643	34.4751	20.0854
123	82	970722	ROOTS	0--30	20990	1.33681	41.1028	30.7469
123	83	970722	ROOTS	0--30	20991	1.0784	42.546	39.4528
123	84	970723	ROOTS	0--30	20992	0.98559	36.8771	37.4162
123	85	970722	ROOTS	0--30	20993	0.79232	21.444	27.0646
123	86	970722	ROOTS	0--30	20994	0.86758	31.8276	36.6853
123	87	970722	ROOTS	0--30	20995	0.81829	40.5205	49.5188
123	88	970722	ROOTS	0--30	20996	0.7687	37.3764	48.6231
123	89	970722	ROOTS	0--30	20997	0.92504	36.1607	39.0909
123	90	970722	ROOTS	0--30	20998	0.61284	48.7259	79.5079
123	91	970722	ROOTS	0--30	20999	0.71212	28.4001	39.8808
123	92	970722	ROOTS	0--30	21000	1.0222	25.0453	24.5014
123	93	970722	ROOTS	0--30	21001	0.64083	19.5609	30.5242
123	94	970723	ROOTS	0--30	21002	1.04312	35.8157	34.335
123	95	970722	ROOTS	0--30	21003	1.17299	33.242	28.3396
123	96	970723	ROOTS	0--30	21004	0.45772	20.1633	44.0511
123	97	970723	ROOTS	0--30	21005	1.1748	27.9934	23.8283
123	98	970723	ROOTS	0--30	21006	0.81184	31.3132	38.5705
123	99	970723	ROOTS	0--30	21007	1.13573	38.4273	33.8348
123	100	970723	ROOTS	0--30	21008	0.66032	40.2361	60.934
123	101	970723	ROOTS	0--30	21009	0.89356	26.4033	29.5483
123	102	970723	ROOTS	0--30	21010	1.0659	35.5739	33.3746
123	103	970723	ROOTS	0--30	21011	0.83775	31.3878	37.4668
123	104	970723	ROOTS	0--30	21012	0.55201	17.9047	32.4356
123	105	970723	ROOTS	0--30	21013	0.8407	44.6812	53.1474
123	106	970723	ROOTS	0--30	21014	1.11991	30.5054	27.2391
123	107	970723	ROOTS	0--30	21015	0.82253	27.222	33.0953
123	108	970723	ROOTS	0--30	21016	0.98251	44.0634	44.8479
123	109	970723	ROOTS	0--30	21017	1.66027	46.0285	27.7235
123	110	970723	ROOTS	0--30	21018	0.55544	18.7106	33.6863
123	111	970723	ROOTS	0--30	21019	0.66468	22.7228	34.1862
123	112	970723	ROOTS	0--30	21020	0.7167	22.0432	30.7567
123	113	970723	ROOTS	0--30	21021	1.05368	37.0361	35.1494
